
title,category,subcategory,region,subRegion,location,notes,_sheet,slug,tags,prerequisites,weight
Tutorial Checkpoint,Checkpoint,' ',Limgrave,,,Starting Area,Base Game,tutorial-checkpoint-limgrave,base-game,' ',1.0
The Ring,Gesture,' ',,,Elden Ring,Unlocked by pre-ordering Elden Ring or by defeating a boss as a Yellow Phantom,Base Game,the-ring-elden-ring,base-game,' ',1.0
Tarnished Wizened Finger,Online,' ',,,Chapel of Anticipation,Online/PVP Item,Base Game,tarnished-wizened-finger-chapel-of-anticipation,base-game,' ',1.0
Grafted Scion Boss (1st Attempt),Boss,' ',,,Chapel of Anticipation,"You can activate the boss and jump off the cliff. If you manage to win, you'll receive Ornamental Straight Sword and Golden Beast Crest Shield. You'll get another chance later",Base Game,grafted-scion-boss-1st-attempt-chapel-of-anticipation,base-game,' ',1.0
Cave of Knowledge,SoG/Location,' ',Limgrave,Stranded Graveyard,,Tutorial Cave,Base Game,cave-of-knowledge-stranded-graveyard,base-game,' ',1.0
Soldier of Godrick,Boss,' ',Limgrave,Stranded Graveyard,,Tutorial Boss,Base Game,soldier-of-godrick-stranded-graveyard,base-game,' ',1.0
Strength!,Gesture,' ',Limgrave,Stranded Graveyard,,Emote on the cliff at the end of the tutorial area,Base Game,strength-stranded-graveyard,base-game,' ',1.0
Stranded Graveyard,SoG/Location,' ',Limgrave,Stranded Graveyard,,"After going through the door, rest at this SoG",Base Game,stranded-graveyard-stranded-graveyard,base-game,' ',1.0
Finger Severer,Online,' ',,,Stranded Graveyward,Just past SoG,Base Game,finger-severer-stranded-graveyward,base-game,' ',1.0
Tarnished's Furled Finger,Online,' ',Limgrave,Stranded Graveyard,,Just past SoG,Base Game,tarnished-s-furled-finger-stranded-graveyard,base-game,' ',1.0
Limgrave,Checkpoint,' ',,,West Limgrave,First main area after leaving the Stranded Graveyard SoG and going up the lift,Base Game,limgrave-west-limgrave,base-game,' ',1.0
First Step,SoG/Location,' ',,,West Limgrave,,Base Game,first-step-west-limgrave,base-game,' ',1.0
Varre,NPC,' ',,,West Limgrave,Speak to Varre at First Step SoG. Exhaust all dialogue,Base Game,varre-west-limgrave,base-game,' ',1.0
Small Golden Effigy,Online,' ',,,West Limgrave,Down slope from Varre,Base Game,small-golden-effigy-west-limgrave,base-game,' ',1.0
Church of Elleh,SoG/Location,' ',,,West Limgrave,"North of The First Step SoG, past the Tree Sentinel boss. Kale can be found here, as well as a Smithing Stone 1",Base Game,church-of-elleh-west-limgrave,base-game,' ',1.0
Kale,NPC,' ',,,West Limgrave,"Merchant who sells items. Exhaust ""About Kale"" and ""Recommendation"" options and Dialogue. Buy crafting kit, reload area, speak to him again for additional dialogue",Base Game,kale-west-limgrave,base-game,' ',1.0
Crafting Kit,Key Item,' ',,,West Limgrave,Sold by Kale. Purchase this ASAP,Base Game,crafting-kit-west-limgrave,base-game,' ',1.0
Nomadic Warrior's Cookbook 1,Cookbook,' ',,,West Limgrave,Sold by Kale,Base Game,nomadic-warrior-s-cookbook-1-west-limgrave,base-game,' ',1.0
Nomadic Warrior's Cookbook 2,Cookbook,' ',,,West Limgrave,Sold by Kale,Base Game,nomadic-warrior-s-cookbook-2-west-limgrave,base-game,' ',1.0
Missionary's Cookbook 1,Cookbook,' ',,,West Limgrave,Sold by Kale,Base Game,missionary-s-cookbook-1-west-limgrave,base-game,' ',1.0
Telescope,Utility Item,' ',,,West Limgrave,Sold by Kale,Base Game,telescope-west-limgrave,base-game,' ',1.0
Torch,Torch,' ',,,West Limgrave,"Sold by Kale. Purchase this now, having light in darker areas will make things easier",Base Game,torch-west-limgrave,base-game,' ',1.0
Large Leather Shield,Medium Shield,' ',,,West Limgrave,Sold by Kale,Base Game,large-leather-shield-west-limgrave,base-game,' ',1.0
Chain Set,Armor Set,' ',,,West Limgrave,Sold by Kale,Base Game,chain-set-west-limgrave,base-game,' ',1.0
Cracked Pot,Consumable,' ',,,West Limgrave,"Sold by Kale, three are sold",Base Game,cracked-pot-west-limgrave,base-game,' ',1.0
